episode,total_reward,steps,success,collision,timeout,distance_to_target,parking_accuracy,exploration_rate,timestamp
35,-81.61511485317754,200,False,False,True,20.014118638430073,0.0,0.04941260988479623,1748939659.983419
36,-72.87758311135902,200,False,False,True,17.806740797742627,0.0,0.04594472742224005,1748939661.508033
37,-123.24489615208977,63,False,True,False,21.511759542416755,0.0,0.04278198102677653,1748939661.9366
38,-39.496292763935955,51,False,True,False,6.518500119264492,0.0,0.03989752203197997,1748939662.2890675
39,105.31311575339743,200,False,False,True,13.031017687794717,0.0,0.03726686416304786,1748939663.7920613
40,-60.28534863956746,200,False,False,True,28.77235018175673,0.0,0.03486767567194485,1748939665.218338
41,-2.2445169144820216,200,False,False,True,6.906103317582273,0.0,0.03267958976240096,1748939667.599415
42,-106.28914483115446,149,False,True,False,11.221099979082412,0.0,0.030684031695455,1748939668.6677625
43,-118.3187089020067,78,False,True,False,14.449846417530074,0.0,0.028864061107836153,1748939669.2376454
44,-95.14263580839534,20,False,True,False,15.508548638007797,0.0,0.02720422820461882,1748939669.3810337
45,26.431629285783963,200,False,False,True,14.281866276831172,0.0,0.02569044260536503,1748939670.8481038
46,-127.63375005624818,123,False,True,False,20.167297499661824,0.0,0.02430985373038469,1748939671.754577
47,-134.58697585447504,67,False,True,False,25.396668285165692,0.0,0.023050741711708435,1748939672.2652206
48,-98.96966908208637,6,False,True,False,14.756532439074151,0.0,0.021902417902712395,1748939672.3155496
49,-162.44023486404996,178,False,True,False,31.229819873327244,0.0,0.020855134141817534,1748939673.7409823
50,51.66635912222999,200,False,False,True,16.72264013061596,0.0,0.01,1748939675.262804
51,-99.89633468255361,120,False,True,False,16.566025023398463,0.0,0.01,1748939676.1637897
52,-99.18820173056467,28,False,True,False,28.126835086334616,0.0,0.01,1748939676.3639808
53,-7.949594136267222,200,False,False,True,26.41451309396616,0.0,0.01,1748939677.8154535
54,98.84851828626275,200,False,False,True,15.124707888681082,0.0,0.01,1748939679.8127341
55,-83.9358726311034,47,False,True,False,10.004921590684768,0.0,0.01,1748939680.487053
56,256.87386289215846,109,True,False,False,0.49502074284784836,0.29460674593035713,0.01,1748939681.9815204
57,-95.47341802024079,34,False,True,False,22.478968767629986,0.0,0.01,1748939682.4634676
58,-66.4820548325276,200,False,False,True,19.94297214064016,0.0,0.01,1748939685.0832922
59,-55.29190351194451,200,False,False,True,14.80108602704965,0.0,0.01,1748939687.4408813
60,35.962681723583785,171,False,True,False,2.8769901647506138,0.0,0.01,1748939689.7026768
61,-17.171109639544266,200,False,False,True,17.075939308235785,0.0,0.01,1748939692.4794016
62,-99.45727352636372,4,False,True,False,10.360605396918617,0.0,0.01,1748939692.5106964
63,141.67308712508162,200,False,False,True,11.552716825766986,0.0,0.01,1748939694.1013062
64,54.41197092659755,176,False,True,False,4.043047546523231,0.0,0.01,1748939695.554522
65,-116.59724317510707,43,False,True,False,31.91415365515359,0.0,0.01,1748939695.902743
66,-73.36774346354939,53,False,True,False,7.0455065047319,0.0,0.01,1748939696.2887573
67,-140.53696011715002,198,False,True,False,18.163172385239836,0.0,0.01,1748939697.7838295
68,-49.155945847883395,200,False,False,True,23.540705210555178,0.0,0.01,1748939699.3996015
69,-31.826893288277276,66,False,True,False,11.128719008881983,0.0,0.01,1748939699.946333
70,-66.3872900513033,200,False,False,True,23.682250933961512,0.0,0.01,1748939701.626517
71,-82.95289540041094,30,False,True,False,18.324103969175972,0.0,0.01,1748939701.879922
72,-90.72302266047504,19,False,True,False,28.031563204046154,0.0,0.01,1748939702.0305033
73,-37.15397621541356,64,False,True,False,9.633120241258872,0.0,0.01,1748939702.5583894
74,48.646461218935464,200,False,False,True,30.140413600358105,0.0,0.01,1748939704.2317283
