episode,total_reward,steps,success,collision,timeout,distance_to_target,parking_accuracy,exploration_rate,timestamp
1,13.702325466900318,100,False,False,True,14.335455963758971,0.0,0.7441313554374126,1748940544.9907482
2,-101.14500119261876,20,False,True,False,30.58489386081967,0.0,0.6927217186537691,1748940546.2186403
3,-100.62785614409856,27,False,True,False,29.717778918331305,0.0,0.64541520576235,1748940547.879065
4,-6.579073324751254,100,False,False,True,27.802282856447064,0.0,0.6018843368055397,1748940554.0278757
5,-3.3537553222365504,100,False,False,True,21.426129870851806,0.0,0.5618277687705131,1748940560.181202
6,13.739323530099497,100,False,False,True,10.649357338827182,0.0,0.5249682095382665,1748940566.3097584
7,-98.97311923211497,4,False,True,False,13.69592813003836,0.0,0.49105049832527703,1748940566.5565343
8,23.241623981953563,100,False,False,True,12.774196107745517,0.0,0.45983983932962336,1748940572.684626
9,-2.653587665317644,100,False,False,True,23.53412797706626,0.0,0.4311201763539586,1748940578.8193576
10,1.7866403701679168,100,False,False,True,23.330427337405315,0.0,0.40469269715364353,1748940584.9575093
11,-4.272380469997579,100,False,False,True,11.72549173223671,0.0,0.38037445715636786,1748940591.7456892
12,-7.956183033915561,100,False,False,True,20.76117229416535,0.0,0.3579971130259427,1748940597.9406884
13,-9.538098844693401,100,False,False,True,23.691092222290635,0.0,0.33740575730334266,1748940604.1042483
14,-9.11141691948469,100,False,False,True,18.522296534241995,0.0,0.31845784605778216,1748940610.2705588
15,-3.38160601721413,100,False,False,True,33.397904870477596,0.0,0.3010222121244812,1748940616.4434521
16,-20.79582313096787,100,False,False,True,32.21584317336058,0.0,0.2849781570982416,1748940622.616522
17,-12.631656479691426,100,False,False,True,23.84943551122499,0.0,0.27021461579715,1748940628.7831733
18,-17.565155301605664,100,False,False,True,19.339504384679145,0.0,0.2566293874123952,1748940634.958331
19,-79.68087112585852,91,False,True,False,30.084592829003952,0.0,0.24412842802182538,1748940640.5698216
20,-15.911822903670013,100,False,False,True,35.093094612176714,0.0,0.23262519956965988,1748940646.7474453
21,2.7255619188252886,100,False,False,True,14.327435808953497,0.0,0.22204007080566052,1748940653.536292
22,61.85184341491253,100,False,False,True,10.220538873340558,0.0,0.21229976603675416,1748940659.7460377
23,-108.34284675262862,48,False,True,False,24.948599095448536,0.0,0.20333685787508396,1748940662.7209218
24,-21.081078735038076,100,False,False,True,21.322759853768726,0.0,0.19508930047103012,1748940668.9872675
25,1.4727852728273014,100,False,False,True,17.305392173716626,0.0,0.1,1748940675.1942966
26,-9.811197880863041,100,False,False,True,22.399939272429798,0.0,0.1,1748940681.407451
27,4.669644406638001,100,False,False,True,15.673927761601702,0.0,0.1,1748940687.6305497
28,-97.4568587081445,44,False,True,False,34.146978865067396,0.0,0.1,1748940690.3636553
29,-4.88392377144242,100,False,False,True,17.744838025358636,0.0,0.1,1748940696.5816154
30,-30.772304145275985,100,False,False,True,19.09628965915796,0.0,0.1,1748940702.8025966
31,-3.183003788043889,100,False,False,True,37.98376429924567,0.0,0.1,1748940709.5422878
32,-98.38984082784225,16,False,True,False,13.204363926379157,0.0,0.1,1748940710.5284033
33,34.642277197645136,100,False,False,True,15.717787936192893,0.0,0.1,1748940716.7497857
34,-107.06417954203685,82,False,True,False,34.35687485261229,0.0,0.1,1748940721.8353424
35,8.124951941508932,100,False,False,True,13.92810678286243,0.0,0.1,1748940728.057674
36,-15.125204218015652,100,False,False,True,22.62462306797169,0.0,0.1,1748940734.2622936
37,-96.23607666041254,23,False,True,False,19.358756819442586,0.0,0.1,1748940735.696235
38,65.41879796645195,100,False,False,True,12.337528331858744,0.0,0.1,1748940741.8845186
39,-16.837491791293267,100,False,False,True,37.045565921229475,0.0,0.1,1748940748.102606
40,-3.6839933764828436,100,False,False,True,19.982903380849304,0.0,0.1,1748940754.3213742
41,-6.565806474697311,100,False,False,True,13.831601105007563,0.0,0.1,1748940761.1125083
42,4.3583375223100225,100,False,False,True,20.17032412200471,0.0,0.1,1748940767.332197
43,-90.21802105391828,90,False,True,False,13.787144939454564,0.0,0.1,1748940772.9477632
44,-7.814725668890528,100,False,False,True,29.78165126226774,0.0,0.1,1748940779.1902394
45,-17.08427004282398,100,False,False,True,18.77058508489342,0.0,0.1,1748940785.4310367
46,5.0694308980419285,100,False,False,True,16.517616196046163,0.0,0.1,1748940791.6586866
47,5.16796272413874,100,False,False,True,33.19114596632976,0.0,0.1,1748940797.8872385
48,16.433099645928934,100,False,False,True,14.471280759150241,0.0,0.1,1748940804.085391
49,-5.225124084936472,100,False,False,True,27.07862605327306,0.0,0.1,1748940810.286498
50,-116.37855290761763,95,False,True,False,18.892601997049564,0.0,0.1,1748940816.181587
