episode,total_reward,steps,success,collision,timeout,distance_to_target,parking_accuracy,exploration_rate,timestamp
1,-43.36618096603024,200,False,False,True,16.697642126231127,0.0,0.9964492203152043,1748944018.9615018
2,-85.31672640562162,200,False,False,True,30.35392118610243,0.0,0.9929117122476404,1748944029.5395322
3,-113.04762738457399,104,False,True,False,32.82526753254478,0.0,0.9893874261924775,1748944035.171982
4,-41.091879159387695,200,False,False,True,9.824567387807361,0.0,0.9858763127302915,1748944047.1981747
5,-71.95960111309002,200,False,False,True,23.06084174884347,0.0,0.9823783226263714,1748944059.2235024
6,-1.5531505719799763,200,False,False,True,14.471937553605427,0.0,0.9788934068300288,1748944071.2216842
7,-26.89873615615056,200,False,False,True,13.957533058367224,0.0,0.9754215164739103,1748944083.198153
8,-50.88839202073299,200,False,False,True,18.141299791877547,0.0,0.971962602873312,1748944095.1316776
9,-48.317340491161154,200,False,False,True,16.03288543993556,0.0,0.9685166175254974,1748944107.1331272
10,-59.30742932179797,200,False,False,True,28.376711832252983,0.0,0.9650835121090168,1748944119.1308093
11,-55.934015486837154,200,False,False,True,29.983037191307716,0.0,0.9616632384830293,1748944131.1147594
12,-80.0708077207503,200,False,False,True,23.484633373420383,0.0,0.9582557486866288,1748944143.2870102
13,-31.36573762013124,200,False,False,True,19.816271421267267,0.0,0.9548609949381707,1748944155.459178
14,-38.02450421140739,200,False,False,True,31.495141490997852,0.0,0.9514789296346018,1748944167.5305066
15,-128.08722804632612,149,False,True,False,23.939534022367578,0.0,0.9481095053507936,1748944176.5798755
16,-50.80561102247925,200,False,False,True,22.857071887472937,0.0,0.9447526748388764,1748944188.6532083
17,-70.6351364759549,200,False,False,True,17.39145520811176,0.0,0.941408391027577,1748944200.6908705
18,-7.06325920981484,200,False,False,True,10.44327992790781,0.0,0.9380766070215592,1748944212.7416737
19,-48.73128628149656,200,False,False,True,25.904697485046544,0.0,0.9347572761007651,1748944224.8496811
20,-66.28357534013372,200,False,False,True,18.416255830207405,0.0,0.9314503517197611,1748944236.6069248
21,-70.31386943803619,200,False,False,True,20.903004674526667,0.0,0.9281557875070849,1748944248.8580956
22,-53.179870144912286,200,False,False,True,33.53904179180736,0.0,0.9248735372645945,1748944261.0509188
23,-140.93342946410786,160,False,True,False,36.598184514191495,0.0,0.9216035549668216,1748944270.8417342
