training_step,loss,mean_q_value,max_q_value,gradient_norm,epsilon,learning_rate,timestamp
0,1.3834359645843506,-1.117833137512207,0.0,15.508286476135254,0.9893874261924775,0.0005,1748944034.9233758
1,0.7605055570602417,0.003478825092315674,0.0,12.718976974487305,0.9893874261924775,0.0004999974353418581,1748944034.9880416
2,0.9496036767959595,0.4179286062717438,0.0,9.067925453186035,0.9893874261924775,0.0004999948706968712,1748944035.0488255
3,1.458742618560791,0.8095092177391052,0.0,17.16520881652832,0.9893874261924775,0.0004999923060650391,1748944035.1112094
4,1.4429881572723389,0.30729904770851135,0.0,14.496349334716797,0.9893874261924775,0.0004999897414463619,1748944035.1706102
5,1.0603539943695068,0.183414027094841,0.0,12.86723804473877,0.9858763127302915,0.0004999871768408393,1748944035.232072
6,1.022993803024292,-0.17052215337753296,0.0,10.266724586486816,0.9858763127302915,0.0004999846122484715,1748944035.2930071
7,0.8505544662475586,-0.4733559489250183,0.0,7.915144443511963,0.9858763127302915,0.0004999820476692582,1748944035.35492
8,0.8127759099006653,-0.6880953907966614,0.0,7.54734468460083,0.9858763127302915,0.0004999794831031996,1748944035.412352
9,1.1694285869598389,-0.9742379188537598,0.0,12.362174987792969,0.9858763127302915,0.0004999769185502954,1748944035.472994
10,1.4341541528701782,-1.5138628482818604,0.0,15.334188461303711,0.9858763127302915,0.0004999743540105455,1748944035.5356355
11,1.0695219039916992,-0.8267911672592163,0.0,11.493182182312012,0.9858763127302915,0.00049997178948395,1748944035.595733
12,0.9432058334350586,-0.6892867088317871,0.0,10.869866371154785,0.9858763127302915,0.0004999692249705088,1748944035.6544907
13,2.5978469848632812,-0.555824875831604,0.0,11.730701446533203,0.9858763127302915,0.0004999666604702217,1748944035.7131777
14,0.6539248824119568,-0.13174960017204285,0.0,7.376735210418701,0.9858763127302915,0.0004999640959830889,1748944035.7718155
15,1.935300350189209,-0.06967535614967346,0.0,5.279573917388916,0.9858763127302915,0.0004999615315091101,1748944035.8333883
16,2.1096723079681396,0.12715893983840942,0.0,5.27242374420166,0.9858763127302915,0.0004999589670482852,1748944035.8933265
