training_step,loss,mean_q_value,max_q_value,gradient_norm,epsilon,learning_rate,timestamp
0,1.2896106243133545,-0.7846271395683289,0.0,13.508096694946289,0.9893874261924775,0.0005,1748942710.8121557
1,0.8596625924110413,-0.3064384460449219,0.0,12.449596405029297,0.9893874261924775,0.0004999974353418581,1748942710.8734617
2,1.2887197732925415,0.7170486450195312,0.0,18.389631271362305,0.9893874261924775,0.0004999948706968712,1748942710.9349606
3,1.21586275100708,0.8046541213989258,0.0,15.942914009094238,0.9893874261924775,0.0004999923060650391,1748942710.9956439
4,0.9968392252922058,0.23271888494491577,0.0,11.97748851776123,0.9893874261924775,0.0004999897414463619,1748942711.0575542
5,0.8676661252975464,0.09652292728424072,0.0,12.158499717712402,0.9893874261924775,0.0004999871768408393,1748942711.1188564
6,0.9113631248474121,-0.2977348566055298,0.0,8.010003089904785,0.9893874261924775,0.0004999846122484715,1748942711.1816661
7,0.9397393465042114,-0.7723042964935303,0.0,12.095261573791504,0.9893874261924775,0.0004999820476692582,1748942711.242489
8,0.853088915348053,-0.9173140525817871,0.0,8.641707420349121,0.9893874261924775,0.0004999794831031996,1748942711.3040733
9,0.8879836201667786,-0.966152548789978,0.0,10.483113288879395,0.9893874261924775,0.0004999769185502954,1748942711.3646252
10,0.8123988509178162,-0.863821268081665,0.0,10.415597915649414,0.9893874261924775,0.0004999743540105455,1748942711.4248378
11,0.683086097240448,-0.5379780530929565,0.0,9.293113708496094,0.9893874261924775,0.00049997178948395,1748942711.4850013
12,0.6238104104995728,-0.4842132031917572,0.0,7.217298984527588,0.9893874261924775,0.0004999692249705088,1748942711.546194
13,0.6548861265182495,-0.012518057599663734,0.0,8.193938255310059,0.9893874261924775,0.0004999666604702217,1748942711.6075401
14,0.46201270818710327,-0.053438857197761536,0.0,6.6800432205200195,0.9893874261924775,0.0004999640959830889,1748942711.667352
15,0.6150525212287903,0.012204509228467941,0.0,6.213847637176514,0.9893874261924775,0.0004999615315091101,1748942711.7277083
16,0.6725906133651733,0.38525599241256714,0.0,8.40027904510498,0.9893874261924775,0.0004999589670482852,1748942711.7901483
17,0.7460271120071411,0.2035762369632721,0.0,7.810596466064453,0.9893874261924775,0.0004999564026006143,1748942711.8503847
18,0.857660174369812,0.12139957398176193,0.0,9.247314453125,0.9893874261924775,0.0004999538381660973,1748942711.9116192
19,0.7635811567306519,-0.22048652172088623,0.0,6.984963417053223,0.9893874261924775,0.000499951273744734,1748942711.9713595
20,0.7548338174819946,-0.22973449528217316,0.0,7.237753868103027,0.9893874261924775,0.0004999487093365246,1748942712.0319111
21,0.6846042275428772,-0.3453633189201355,0.0,7.489737033843994,0.9893874261924775,0.0004999461449414687,1748942712.0921707
22,0.6199907064437866,-0.70231693983078,0.0,5.526292324066162,0.9893874261924775,0.0004999435805595664,1748942712.1540952
23,0.699958860874176,-1.2099387645721436,0.0,6.215774059295654,0.9893874261924775,0.0004999410161908177,1748942712.2140312
24,0.676950991153717,-1.0972117185592651,0.0,7.050227642059326,0.9893874261924775,0.0004999384518352225,1748942712.2740011
25,0.5741758346557617,-1.0217487812042236,0.0,7.012993812561035,0.9893874261924775,0.0004999358874927806,1748942712.335464
26,0.5780983567237854,-1.078832983970642,0.0,5.990705966949463,0.9893874261924775,0.000499933323163492,1748942712.3954082
