training_step,loss,mean_q_value,max_q_value,gradient_norm,epsilon,learning_rate,timestamp
0,1.1523842811584473,-0.630850076675415,0.0,16.34334945678711,0.9128907309623506,0.001,1748939243.4972012
1,1.4985684156417847,0.8869584798812866,0.0,15.431424140930176,0.9128907309623506,0.0009999948706837162,1748939243.5032003
2,1.2569372653961182,2.4219250679016113,0.0,16.755842208862305,0.9128907309623506,0.0009999897413937424,1748939243.5092008
3,1.7671388387680054,2.92252254486084,0.0,16.271799087524414,0.9128907309623506,0.0009999846121300782,1748939243.516201
4,1.614412546157837,2.7027106285095215,0.0,20.611909866333008,0.9128907309623506,0.0009999794828927239,1748939243.523203
5,1.704874038696289,2.888514280319214,0.0,20.56609535217285,0.9128907309623506,0.0009999743536816786,1748939243.530202
6,1.2092653512954712,1.709459900856018,0.0,11.817462921142578,0.9128907309623506,0.000999969224496943,1748939243.538201
7,1.0461422204971313,1.06754732131958,0.0,13.504855155944824,0.9128907309623506,0.0009999640953385165,1748939243.5452003
8,0.6073796153068542,0.24216003715991974,0.0,9.305243492126465,0.9128907309623506,0.0009999589662063992,1748939243.5512013
9,0.9630523920059204,-0.7080662250518799,0.0,11.331500053405762,0.9128907309623506,0.0009999538371005907,1748939243.5568995
10,1.0776619911193848,-0.9213374853134155,0.0,13.81287670135498,0.9128907309623506,0.000999948708021091,1748939243.562059
11,0.8114069700241089,-0.7375866770744324,0.0,12.238247871398926,0.9128907309623506,0.0009999435789679,1748939243.568143
12,0.691774845123291,-0.4917035698890686,0.0,10.2263822555542,0.9128907309623506,0.0009999384499410175,1748939243.5742748
13,0.7889508605003357,-0.22318309545516968,0.0,9.905889511108398,0.9128907309623506,0.0009999333209404434,1748939243.5792747
14,0.40671777725219727,0.2348763644695282,0.0,7.976002216339111,0.9128907309623506,0.0009999281919661777,1748939243.5852747
15,0.42191892862319946,0.4907224476337433,0.0,7.156822204589844,0.9128907309623506,0.0009999230630182202,1748939243.5902748
16,0.5892650485038757,0.7811512351036072,0.0,6.711709499359131,0.9128907309623506,0.0009999179340965704,1748939243.5962746
17,0.647614598274231,1.0971919298171997,0.0,5.059556484222412,0.9128907309623506,0.0009999128052012285,1748939243.6022863
18,0.5208837389945984,1.2795871496200562,0.0,6.872514247894287,0.9128907309623506,0.0009999076763321946,1748939243.6082768
19,0.42964452505111694,1.5216779708862305,0.0,8.629478454589844,0.9128907309623506,0.000999902547489468,1748939243.6152756
20,0.4043412208557129,1.787108302116394,0.0,7.056550979614258,0.9128907309623506,0.0009998974186730492,1748939243.6199753
21,0.6949189305305481,2.1456265449523926,0.0,7.577626705169678,0.9128907309623506,0.0009998922898829374,1748939243.6259758
22,0.6767286062240601,2.0132274627685547,0.0,8.041516304016113,0.9128907309623506,0.0009998871611191329,1748939243.631976
23,0.5609996318817139,2.028085231781006,0.0,9.561971664428711,0.9128907309623506,0.0009998820323816355,1748939243.6373546
24,0.6435728073120117,1.8470242023468018,0.0,7.672130107879639,0.9128907309623506,0.000999876903670445,1748939243.6432168
25,0.8001292943954468,1.6788537502288818,0.0,7.836782455444336,0.9128907309623506,0.0009998717749855612,1748939243.6492174
26,0.40909141302108765,1.1314387321472168,0.0,4.502946853637695,0.9128907309623506,0.000999866646326984,1748939243.6542168
27,0.5382671356201172,1.2431695461273193,0.0,6.324387073516846,0.9128907309623506,0.0009998615176947134,1748939243.661251
28,0.36716553568840027,0.7161644697189331,0.0,4.600501537322998,0.9128907309623506,0.0009998563890887492,1748939243.6662161
29,0.396563857793808,0.48342224955558777,0.0,4.633425235748291,0.9128907309623506,0.0009998512605090912,1748939243.6732178
30,0.3547874689102173,0.4007311165332794,0.0,4.695418357849121,0.9128907309623506,0.0009998461319557393,1748939243.6792169
31,0.5992313623428345,0.26531028747558594,0.0,5.470996379852295,0.9128907309623506,0.0009998410034286935,1748939243.6852171
32,0.6084210276603699,0.1819489598274231,0.0,3.5490620136260986,0.9128907309623506,0.0009998358749279534,1748939243.6922235
33,0.5508807301521301,0.2342868447303772,0.0,3.733121871948242,0.9128907309623506,0.000999830746453519,1748939243.6981196
34,0.607231616973877,0.15635333955287933,0.0,3.6296823024749756,0.9128907309623506,0.0009998256180053901,1748939243.7031052
35,0.3743705749511719,0.16738107800483704,0.0,3.6435117721557617,0.9128907309623506,0.0009998204895835668,1748939243.7101068
36,0.4554389715194702,0.09811325371265411,0.0,3.3483457565307617,0.9128907309623506,0.0009998153611880487,1748939243.7161052
37,0.45505082607269287,0.13239935040473938,0.0,3.099714517593384,0.9128907309623506,0.0009998102328188359,1748939243.7221065
38,0.3903413414955139,0.3138718605041504,0.0,3.102261543273926,0.9128907309623506,0.000999805104475928,1748939243.728105
39,0.31845471262931824,0.23921850323677063,0.0,3.4230542182922363,0.9128907309623506,0.000999799976159325,1748939243.7331676
40,0.3850495517253876,0.3411236107349396,0.0,3.358938694000244,0.9128907309623506,0.0009997948478690268,1748939243.7391684
41,0.3631023168563843,0.4476591944694519,0.0,2.816662311553955,0.9128907309623506,0.0009997897196050332,1748939243.744167
