episode,total_reward,steps,success,collision,timeout,distance_to_target,parking_accuracy,exploration_rate,timestamp
1,-51.171700417576425,200,False,False,True,35.41523512805379,0.0,0.9964492203152043,1748944471.0310395
2,-60.71112539102262,200,False,False,True,23.63272275831195,0.0,0.9929117122476404,1748944471.128925
3,5.50190864478034,200,False,False,True,12.023813222070181,0.0,0.9893874261924775,1748944471.7892084
4,-41.35626592349012,200,False,False,True,15.882922726808642,0.0,0.9858763127302915,1748944472.770626
5,-51.06266742985671,200,False,False,True,28.91837872788203,0.0,0.9823783226263714,1748944473.732255
6,-3.9546961687510964,200,False,False,True,12.376186641917833,0.0,0.9788934068300288,1748944474.6831355
7,-45.85571901131854,200,False,False,True,22.910774096478633,0.0,0.9754215164739103,1748944475.6845243
8,-41.876572003489365,200,False,False,True,19.15834027230468,0.0,0.971962602873312,1748944476.7062085
9,-70.12134854783505,200,False,False,True,15.789335185344148,0.0,0.9685166175254974,1748944477.693735
10,-41.31056645810495,200,False,False,True,14.116549237447803,0.0,0.9650835121090168,1748944478.7177203
11,-46.47088178296992,200,False,False,True,18.975573319801107,0.0,0.9616632384830293,1748944479.7974727
12,-41.670110223711376,200,False,False,True,25.097698308515913,0.0,0.9582557486866288,1748944480.883139
13,-41.90946382333062,200,False,False,True,19.151387224007937,0.0,0.9548609949381707,1748944481.9164631
14,-45.589784120172645,200,False,False,True,19.84179296063506,0.0,0.9514789296346018,1748944482.9302018
15,-28.14269120285826,200,False,False,True,17.40104506691725,0.0,0.9481095053507936,1748944483.9718735
16,-47.22344299632246,200,False,False,True,25.70095545237676,0.0,0.9447526748388764,1748944485.020888
17,-58.81172480900902,200,False,False,True,27.680010217624385,0.0,0.941408391027577,1748944486.0902994
18,-45.73847042704088,200,False,False,True,33.231448857565866,0.0,0.9380766070215592,1748944487.1398633
19,-19.761796797216835,200,False,False,True,12.437830585594014,0.0,0.9347572761007651,1748944488.2248151
20,-64.88440322820414,200,False,False,True,15.84287740004124,0.0,0.9314503517197611,1748944489.2569356
21,-46.65969966919279,200,False,False,True,28.34273160095207,0.0,0.9281557875070849,1748944490.2575834
22,-78.94352950707338,200,False,False,True,22.596105818663506,0.0,0.9248735372645945,1748944491.2836509
23,-56.680455523929304,200,False,False,True,32.43673051281868,0.0,0.9216035549668216,1748944492.2817745
24,-70.76629720688074,200,False,False,True,19.70489541905895,0.0,0.918345794760325,1748944493.4406955
25,-56.74739056693945,200,False,False,True,20.29229347711184,0.0,0.9151002109630484,1748944494.6075768
26,-62.83589070739909,200,False,False,True,26.130587978740767,0.0,0.91186675806368,1748944495.6839478
27,-69.04403238762742,200,False,False,True,22.97344114735788,0.0,0.9086453907210136,1748944496.7454016
28,4.615987525579878,200,False,False,True,12.544994991867206,0.0,0.9054360637633131,1748944497.722399
29,-81.83721550738831,200,False,False,True,20.978128071787953,0.0,0.9022387321876791,1748944498.6374705
30,-35.289464891039,200,False,False,True,37.03998516706103,0.0,0.8990533511594181,1748944499.5259085
31,-82.20418073598613,200,False,False,True,36.5147562973505,0.0,0.8958798760114134,1748944500.4593663
32,-38.304738374771794,200,False,False,True,21.143430777926927,0.0,0.8927182622434989,1748944501.4025087
33,-68.77279093357427,200,False,False,True,32.71278260119835,0.0,0.8895684655218353,1748944502.2515442
34,-53.744070007114345,200,False,False,True,19.06165388164508,0.0,0.886430441678288,1748944503.1066709
35,-64.18495568209624,200,False,False,True,18.342462171724872,0.0,0.8833041467098082,1748944503.9533134
36,-148.24325624707063,188,False,True,False,31.904256219442694,0.0,0.8801895367778155,1748944504.7387123
37,-40.837141329095914,200,False,False,True,24.42168107170245,0.0,0.8770865682075834,1748944505.5717533
38,-18.393343720900244,200,False,False,True,13.175052425257899,0.0,0.8739951974876267,1748944506.4475963
39,-61.70510074846819,200,False,False,True,25.860882211288583,0.0,0.8709153812690917,1748944507.2997758
40,-132.48550426063926,200,False,True,False,19.81838254821386,0.0,0.8678470763651481,1748944508.158202
41,-37.06336869419805,200,False,False,True,19.18310836873868,0.0,0.864790239750383,1748944509.0060828
42,-23.884181612387398,200,False,False,True,15.143800547216408,0.0,0.8617448285601984,1748944509.8394196
43,-117.54962473403413,131,False,True,False,26.610239791780927,0.0,0.8587108000902095,1748944510.3996856
44,-40.66136890640979,200,False,False,True,35.41742324747754,0.0,0.8556881117956463,1748944511.2469504
45,-69.4707763293016,200,False,False,True,18.508658292919066,0.0,0.8526767212907564,1748944512.1346688
46,-84.17253456477371,200,False,False,True,23.710282372185688,0.0,0.8496765863482116,1748944513.0098624
47,-82.4415543707373,200,False,False,True,26.93358183680086,0.0,0.846687664898515,1748944513.8909626
48,-46.89104131120255,200,False,False,True,20.82698446545092,0.0,0.8437099150294108,1748944514.7516408
49,-52.8650451376442,200,False,False,True,21.87559134797512,0.0,0.840743294985298,1748944515.6141198
50,-37.08116046901818,200,False,False,True,21.87893237637324,0.0,0.8377877631666432,1748944516.473548
51,-28.953680819379993,200,False,False,True,17.537678689908137,0.0,0.8348432781293982,1748944518.4507473
52,-75.82613224533526,200,False,False,True,28.966543803872092,0.0,0.831909798584419,1748944519.352933
53,-24.478408023891152,200,False,False,True,17.856220045990547,0.0,0.8289872833968862,1748944520.4627445
